date;home_team;away_team;winner
08/05/1988;Guinea;Mali;Guinea
28/05/1988;Canada;Greece;Canada
19/07/1988;Egypt;Syria;Syria
21/07/1988;Iraq;Syria;Iraq
29/09/1988;Chile;Ecuador;Ecuador
16/10/1988;Eswatini;Tanzania;Eswatini
06/12/1988;Central African Republic;Gabon;Gabon
17/12/1988;China PR;Iran;Iran
18/12/1988;South Korea;Saudi Arabia;Saudi Arabia
23/04/1989;Ghana;Gabon;Gabon
23/04/1989;Kenya;Sudan;Kenya
08/11/1989;Iran;Uganda;Uganda
12/11/1989;Iraq;Uganda;Iraq
11/12/1989;Chad;Cameroon;Cameroon
16/12/1989;Malawi;Uganda;Uganda
28/01/1990;Nigeria;Senegal;Nigeria
04/02/1990;United States;Colombia;Colombia
20/02/1990;Colombia;Russia;Colombia
18/05/1990;Zimbabwe;Eswatini;Zimbabwe
25/06/1990;Republic of Ireland;Romania;Republic of Ireland
30/06/1990;Yugoslavia;Argentina;Argentina
03/07/1990;Italy;Argentina;Argentina
04/07/1990;Germany;England;Germany
03/08/1990;China PR;South Korea;South Korea
17/12/1990;Tanzania;Uganda;Uganda
17/12/1990;Central African Republic;Equatorial Guinea;Central African Republic
21/01/1991;Cameroon;Algeria;Cameroon
21/01/1991;Senegal;Ivory Coast;Ivory Coast
22/01/1991;Senegal;Algeria;Senegal
23/01/1991;Ivory Coast;Cameroon;Ivory Coast
14/06/1991;South Korea;Australia;South Korea
16/06/1991;Italy;Russia;Italy
07/07/1991;United States;Honduras;United States
08/08/1991;Czechoslovakia;Yugoslavia;Czechoslovakia
20/09/1991;Fiji;Solomon Islands;Fiji
28/09/1991;Egypt;Mali;Egypt
23/01/1992;Cameroon;Ivory Coast;Ivory Coast
26/01/1992;Ghana;Ivory Coast;Ivory Coast
22/06/1992;Netherlands;Denmark;Denmark
27/06/1992;Cuba;Martinique;Martinique
29/08/1992;Japan;South Korea;Japan
15/09/1992;Syria;Egypt;Egypt
08/11/1992;China PR;United Arab Emirates;China PR
25/11/1992;Uganda;Zambia;Uganda
23/01/1993;Japan;Switzerland;Switzerland
20/02/1993;Finland;Estonia;Finland
24/02/1993;Argentina;Denmark;Argentina
27/05/1993;Bolivia;Paraguay;Bolivia
28/05/1993;Martinique;Saint Kitts and Nevis;Martinique
30/05/1993;Jamaica;Martinique;Martinique
26/06/1993;Colombia;Uruguay;Colombia
27/06/1993;Brazil;Argentina;Argentina
01/07/1993;Colombia;Argentina;Argentina
15/08/1993;Australia;Canada;Australia
24/10/1993;Burundi;Guinea;Guinea
29/01/1994;Burkina Faso;Guinea;Burkina Faso
06/04/1994;Nigeria;Ivory Coast;Nigeria
05/07/1994;Mexico;Bulgaria;Bulgaria
10/07/1994;Romania;Sweden;Sweden
17/07/1994;Brazil;Italy;Brazil
08/12/1994;Tanzania;Uganda;Tanzania
10/01/1995;Denmark;Mexico;Denmark
13/01/1995;Mexico;Nigeria;Mexico
26/02/1995;Japan;South Korea;Japan
31/03/1995;India;Bangladesh;India
21/05/1995;Antigua and Barbuda;Saint Kitts and Nevis;Antigua and Barbuda
09/06/1995;Paraguay;Bolivia;Paraguay
16/07/1995;Paraguay;Colombia;Colombia
17/07/1995;United States;Mexico;United States
17/07/1995;Brazil;Argentina;Brazil
23/07/1995;Uruguay;Brazil;Uruguay
24/08/1995;Fiji;Solomon Islands;Solomon Islands
28/11/1995;Mauritania;Sierra Leone;Sierra Leone
02/12/1995;Gabon;Cameroon;Cameroon
02/12/1995;Algeria;Ivory Coast;Ivory Coast
06/12/1995;Ethiopia;Zanzibar;Zanzibar
07/12/1995;Honduras;Costa Rica;Honduras
28/01/1996;Gabon;Tunisia;Tunisia
22/02/1996;Japan;Sweden;Sweden
28/04/1996;Barbados;Jamaica;Jamaica
05/05/1996;Guyana;Suriname;Suriname
05/06/1996;Martinique;Suriname;Martinique
22/06/1996;England;Spain;England
22/06/1996;France;Netherlands;France
26/06/1996;France;Czech Republic;Czech Republic
26/06/1996;England;Germany;Germany
25/08/1996;Ethiopia;Uganda;Ethiopia
29/11/1996;Sudan;Kenya;Sudan
11/12/1996;Morocco;Croatia;Croatia
12/12/1996;Croatia;Czech Republic;Croatia
19/12/1996;Iran;Saudi Arabia;Saudi Arabia
21/12/1996;Iran;Kuwait;Iran
21/12/1996;United Arab Emirates;Saudi Arabia;Saudi Arabia
27/12/1996;Benin;Burkina Faso;Benin
07/02/1997;Russia;Serbia;Russia
10/04/1997;India;Iraq;Iraq
22/06/1997;Ecuador;Mexico;Mexico
10/07/1997;Trinidad and Tobago;Jamaica;Trinidad and Tobago
20/10/1997;Haiti;Cuba;Haiti
22/10/1997;Cuba;Cameroon;Cuba
07/12/1997;Gambia;Guinea;Guinea
31/01/1998;Egypt;South Korea;South Korea
31/01/1998;Iran;Chile;Iran
21/02/1998;Burkina Faso;Tunisia;Burkina Faso
21/02/1998;Ivory Coast;Egypt;Egypt
27/02/1998;Burkina Faso;DR Congo;DR Congo
22/04/1998;Hungary;North Macedonia;Hungary
29/05/1998;Belgium;England;Belgium
29/05/1998;Morocco;France;Morocco
30/06/1998;Argentina;England;Argentina
03/07/1998;France;Italy;France
07/07/1998;Brazil;Netherlands;Brazil
05/09/1998;Indonesia;Thailand;Indonesia
17/11/1998;Guatemala;Honduras;Guatemala
18/11/1998;Guatemala;Mexico;Guatemala
02/12/1998;United Arab Emirates;North Korea;United Arab Emirates
22/05/1999;Malawi;Namibia;Namibia
16/06/1999;Thailand;New Zealand;Thailand
19/06/1999;New Zealand;Poland;Poland
10/07/1999;Mexico;Peru;Mexico
10/07/1999;Paraguay;Uruguay;Uruguay
13/07/1999;Uruguay;Chile;Uruguay
18/07/1999;Eswatini;Zimbabwe;Eswatini
31/07/1999;Namibia;South Africa;Namibia
03/08/1999;Rwanda;Kenya;Kenya
07/08/1999;Rwanda;Burundi;Rwanda
07/08/1999;Zambia;Mozambique;Zambia
28/08/1999;Namibia;Eswatini;Namibia
26/11/1999;Gabon;Togo;Togo
04/02/2000;Romania;Georgia;Romania
12/02/2000;South Africa;Tunisia;South Africa
13/02/2000;Nigeria;Cameroon;Cameroon
19/02/2000;United States;Colombia;Colombia
19/03/2000;Suriname;Saint Lucia;Suriname
29/04/2000;British Virgin Islands;Sint Maarten;British Virgin Islands
30/04/2000;British Virgin Islands;Antigua and Barbuda;Antigua and Barbuda
10/05/2000;Maldives;Sri Lanka;Sri Lanka
11/05/2000;Senegal;Mali;Senegal
20/05/2000;Malawi;Angola;Angola
21/05/2000;Barbados;Cuba;Barbados
04/06/2000;France;Japan;France
07/06/2000;Iran;Egypt;Egypt
11/06/2000;Lesotho;Zambia;Lesotho
29/06/2000;Netherlands;Italy;Italy
14/07/2000;Libya;Chad;Libya
16/07/2000;Mozambique;Lesotho;Lesotho
03/09/2000;Togo;Sierra Leone;Togo
04/10/2000;United Arab Emirates;South Korea;United Arab Emirates
28/10/2000;Kenya;Uganda;Uganda
02/12/2000;Ethiopia;Rwanda;Ethiopia
17/01/2001;China PR;Egypt;Egypt
27/01/2001;South Korea;Paraguay;South Korea
11/02/2001;Eswatini;Zambia;Eswatini
12/07/2001;Ynys Môn;Jersey;Ynys Môn
13/07/2001;Guernsey;Ynys Môn;Guernsey
29/07/2001;Uruguay;Honduras;Honduras
03/08/2001;China PR;North Korea;North Korea
03/08/2001;Kuwait;Trinidad and Tobago;Kuwait
05/08/2001;Kuwait;North Korea;North Korea
18/08/2001;Zambia;Angola;Angola
24/10/2001;Kenya;Uganda;Kenya
24/10/2001;Tanzania;DR Congo;Tanzania
18/12/2001;Ethiopia;Burundi;Ethiopia
06/01/2002;Martinique;Haiti;Martinique
26/01/2002;Canada;Martinique;Canada
27/01/2002;Mexico;South Korea;South Korea
30/01/2002;United States;Canada;United States
10/02/2002;Senegal;Cameroon;Cameroon
12/02/2002;Cyprus;Switzerland;Cyprus
15/02/2002;China PR;Slovenia;Slovenia
16/02/2002;Thailand;North Korea;North Korea
30/03/2002;Botswana;South Africa;South Africa
17/05/2002;Russia;Belarus;Belarus
19/05/2002;Russia;Serbia;Serbia
16/06/2002;Spain;Republic of Ireland;Spain
22/06/2002;South Korea;Spain;South Korea
21/07/2002;South Africa;Madagascar;South Africa
05/09/2002;Iraq;Iran;Iraq
07/09/2002;Syria;Iran;Iran
17/09/2002;Iran;Morocco;Iran
19/09/2002;Iran;Paraguay;Iran
23/10/2002;Kenya;South Africa;Kenya
26/10/2002;Tanzania;South Africa;South Africa
26/10/2002;Kenya;Uganda;Kenya
19/11/2002;South Africa;Senegal;Senegal
27/12/2002;Niger;Burkina Faso;Burkina Faso
29/12/2002;Niger;Mali;Niger
20/01/2003;Bangladesh;Maldives;Bangladesh
04/02/2003;Uruguay;Iran;Uruguay
07/03/2003;Benin;Niger;Benin
15/03/2003;Guadeloupe;French Guiana;Guadeloupe
22/03/2003;Mozambique;Lesotho;Mozambique
27/03/2003;Tunisia;Ghana;Tunisia
30/03/2003;Ghana;Madagascar;Ghana
24/05/2003;Botswana;Malawi;Malawi
09/07/2003;New Caledonia;Vanuatu;New Caledonia
16/08/2003;Malawi;Zambia;Malawi
24/09/2003;Algeria;Gabon;Algeria
26/09/2003;Algeria;Burkina Faso;Algeria
08/12/2003;Kenya;Rwanda;Rwanda
08/12/2003;Sudan;Uganda;Uganda
11/02/2004;Tunisia;Nigeria;Tunisia
19/02/2004;Kazakhstan;Armenia;Kazakhstan
28/02/2004;Lesotho;Botswana;Botswana
23/06/2004;Jordan;Syria;Syria
24/06/2004;Portugal;England;Portugal
26/06/2004;Sweden;Netherlands;Netherlands
18/07/2004;Angola;Botswana;Angola
21/07/2004;Uruguay;Brazil;Brazil
25/07/2004;Argentina;Brazil;Brazil
30/07/2004;Uzbekistan;Bahrain;Bahrain
31/07/2004;Japan;Jordan;Japan
03/08/2004;China PR;Iran;China PR
22/10/2004;Nigeria;Ecuador;Ecuador
24/10/2004;Zimbabwe;Zambia;Zambia
20/11/2004;Zambia;Angola;Angola
30/11/2004;Thailand;Estonia;Thailand
30/11/2004;Singapore;Hong Kong;Hong Kong
02/12/2004;Thailand;Slovakia;Slovakia
03/12/2004;Bahrain;Latvia;Bahrain
03/12/2004;Finland;Oman;Oman
22/12/2004;Ethiopia;Kenya;Ethiopia
24/12/2004;Qatar;Oman;Qatar
08/02/2005;Cyprus;Austria;Cyprus
09/02/2005;Austria;Latvia;Latvia
27/02/2005;Costa Rica;Honduras;Costa Rica
16/04/2005;Namibia;Botswana;Botswana
26/06/2005;Mexico;Argentina;Argentina
21/07/2005;Colombia;Panama;Panama
24/07/2005;United States;Panama;United States
28/07/2005;Kuwait;United Arab Emirates;United Arab Emirates
30/07/2005;Egypt;United Arab Emirates;Egypt
13/08/2005;South Africa;Zambia;Zambia
15/08/2005;Ukraine;Israel;Israel
16/11/2005;Australia;Uruguay;Australia
10/12/2005;Syria;Iraq;Iraq
10/12/2005;Zanzibar;Uganda;Zanzibar
04/02/2006;Nigeria;Tunisia;Nigeria
04/02/2006;Cameroon;Ivory Coast;Ivory Coast
10/02/2006;Egypt;Ivory Coast;Egypt
28/02/2006;Finland;Kazakhstan;Kazakhstan
01/03/2006;Finland;Belarus;Finland
29/04/2006;Lesotho;Mozambique;Lesotho
30/04/2006;Mauritius;Mozambique;Mozambique
21/05/2006;Botswana;South Africa;Botswana
03/06/2006;Northern Cyprus;Zanzibar;Northern Cyprus
26/06/2006;Switzerland;Ukraine;Ukraine
30/06/2006;Germany;Argentina;Germany
01/07/2006;England;Portugal;Portugal
09/07/2006;Italy;France;Italy
22/07/2006;Namibia;Seychelles;Seychelles
29/04/2007;Mozambique;Zimbabwe;Mozambique
26/05/2007;Malawi;South Africa;South Africa
26/05/2007;Eswatini;Mauritius;Mauritius
10/07/2007;Uruguay;Brazil;Brazil
21/07/2007;Japan;Australia;Japan
22/07/2007;Iran;South Korea;South Korea
25/07/2007;Iraq;South Korea;Iraq
28/07/2007;South Korea;Japan;South Korea
29/07/2007;Botswana;Angola;Botswana
24/10/2007;South Africa;Zambia;South Africa
20/06/2008;Croatia;Turkey;Turkey
22/06/2008;Spain;Italy;Spain
27/07/2008;Zambia;Zimbabwe;Zambia
26/06/2009;Provence;Sápmi;Sápmi
23/07/2009;Costa Rica;Mexico;Mexico
28/10/2009;Zimbabwe;South Africa;Zimbabwe
25/01/2010;Zambia;Nigeria;Nigeria
29/06/2010;Paraguay;Japan;Paraguay
